rank,ticker,company_name,number_of_earnings_events,positive_7d_window_rate,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,average_eps_surprise_pct,best_7d_window_return_pct,worst_7d_window_return_pct,ranking_score,eps_beat_rate,average_return_on_eps_beat_pct,eps_beat_reaction_score
76,NVTS,Navitas Semiconductor Corporati,12,0.33,-9.31,-9.93,-6.67,5.71,27.31,-31.23,7.93,0.3333333333333333,6.165447705037208,22.832114371703874
77,OESX,"Orion Energy Systems, Inc.",12,0.58,2.26,2.21,-0.11,-8.42,33.82,-29.68,30.58,0.3333333333333333,2.75303452618054,19.419701192847203
78,AIRG,"Airgain, Inc.",12,0.25,-2.74,-2.73,-2.33,-20.54,38.58,-25.07,7.71,0.3333333333333333,0.7076726363738182,17.374339303040482
79,LSCC,Lattice Semiconductor Corporati,12,0.67,4.42,7.95,1.6,-7.25,23.29,-24.76,37.02,0.3333333333333333,0.665927132073435,17.3325937987401
80,IPWR,Ideal Power Inc.,9,0.67,4.65,0.69,-0.02,-0.11,49.24,-26.73,37.98,0.3333333333333333,0.5597392757083443,17.22640594237501
81,AMPG,"Amplitech Group, Inc.",12,0.33,3.39,-9.8,0.54,-97.25,92.61,-25.48,10.33,0.3333333333333333,0.2450755229489432,16.91174218961561
82,INVE,"Identiv, Inc.",12,0.33,-7.29,-8.95,-3.44,7.46,12.17,-25.14,10.12,0.5,-8.473104217963218,16.52689578203678
83,SHLS,"Shoals Technologies Group, Inc.",12,0.17,-11.05,-16.77,-6.73,-1.36,59.1,-44.77,-2.85,0.5,-9.346717024466642,15.653282975533358
84,QUIK,QuickLogic Corporation,11,0.27,-2.64,-7.03,-1.56,-151.63,25.19,-24.97,-4.17,0.45454545454545453,-8.259205712305581,14.468067014967145
85,LINK,"Interlink Electronics, Inc.",9,0.44,-0.2,-0.51,-3.79,15.83,33.23,-22.67,23.61,0.2222222222222222,0.47279836626980043,11.583909477380912
86,NEON,Neonode Inc.,5,0.4,-10.26,-9.74,-2.36,1.83,3.77,-25.57,9.93,0.4,-9.6026078040059,10.3973921959941
87,CSIQ,Canadian Solar Inc.,12,0.17,-9.48,-10.04,-4.28,-214.04,6.62,-24.46,-22.55,0.3333333333333333,-7.535934419784304,9.13073224688236
88,DVLT,Datavault AI Inc.,12,0.25,-6.5,-10.61,-6.59,-4285.17,50.89,-43.96,-422.52,0.4166666666666667,-12.928142985331338,7.905190348001998
89,TYGO,"Tigo Energy, Inc.",12,0.33,-7.47,-6.47,-7.58,-21.49,12.39,-42.55,7.05,0.25,-8.43277422457672,4.06722577542328
90,MVIS,"Microvision, Inc.",11,0.36,-9.33,-11.59,-7.62,-19.49,25.67,-32.14,6.9,0.36363636363636365,-14.523885272781559,3.6579329090366244
91,ASTI,"Ascent Solar Technologies, Inc",1,0.0,-1.51,-1.51,6.02,-42.11,-1.51,-1.51,-5.72,0.0,,0.0
92,BOSC,B.O.S. Better Online Solutions,1,0.0,-8.05,-8.05,-4.2,-21.43,-8.05,-8.05,-10.2,0.0,,0.0
93,INDI,"indie Semiconductor, Inc.",12,0.42,1.12,-2.24,2.17,-13.48,34.74,-26.06,20.6,0.0,,0.0
94,MOBX,"Mobix Labs, Inc.",1,0.0,-40.0,-40.0,-11.22,,-40.0,-40.0,-40.0,0.0,,0.0
95,PLUG,"Plug Power, Inc.",12,0.5,-0.07,3.77,-0.5,-119.88,40.0,-33.33,12.95,0.08333333333333333,-24.000003121115945,-19.83333645444928
