ticker,company_name,earnings_date,eps_estimate,reported_eps,eps_surprise,eps_surprise_pct,price_7d_before_date,price_7d_before_adj_close,earnings_nearest_trading_date,earnings_nearest_adj_close,price_7d_after_date,price_7d_after_adj_close,change_7d_before_to_earnings_pct,change_earnings_to_7d_after_pct,change_7d_before_to_7d_after_pct,data_quality_notes
VECO,Veeco Instruments Inc.,2024-08-06,0.43,0.42,-0.01,-2.33,2024-07-30,38.76,2024-08-06,35.12,2024-08-13,36.76,-9.39,4.67,-5.16,
VECO,Veeco Instruments Inc.,2024-05-07,0.41,0.45,0.04,9.76,2024-04-30,35.34,2024-05-07,37.49,2024-05-14,38.93,6.08,3.84,10.16,
VECO,Veeco Instruments Inc.,2024-02-14,0.42,0.51,0.09,21.43,2024-02-07,31.75,2024-02-14,35.3,2024-02-21,33.85,11.18,-4.11,6.61,
VECO,Veeco Instruments Inc.,2023-11-06,0.37,0.53,0.16,43.24,2023-10-30,23.84,2023-11-06,24.86,2023-11-13,27.64,4.28,11.18,15.94,
VECO,Veeco Instruments Inc.,2023-08-07,0.3,0.36,0.06,20.0,2023-07-31,28.16,2023-08-07,28.19,2023-08-14,30.45,0.11,8.02,8.13,
WATT,Energous Corporation,2026-05-13,-0.6,-0.4,0.2,33.33,2026-05-06,27.89,2026-05-13,23.62,2026-05-20,25.27,-15.31,6.99,-9.39,
WATT,Energous Corporation,2025-11-12,-1.8,-1.31,0.49,27.22,2025-11-05,7.68,2025-11-12,7.31,2025-11-19,6.6,-4.82,-9.71,-14.06,
WATT,Energous Corporation,2025-08-07,-0.81,,,,2025-07-31,12.0,2025-08-07,8.55,2025-08-14,8.09,-28.75,-5.38,-32.58,missing reported eps
WATT,Energous Corporation,2025-02-27,-22.2,-17.35,4.85,21.85,2025-02-20,12.9,2025-02-27,11.07,2025-03-06,9.6,-14.19,-13.28,-25.58,
WATT,Energous Corporation,2024-11-12,-22.2,-14.53,7.67,34.55,2024-11-05,16.32,2024-11-12,16.8,2024-11-19,14.7,2.94,-12.5,-9.93,
WATT,Energous Corporation,2024-08-08,-22.35,-21.43,0.92,4.12,2024-08-01,28.65,2024-08-08,25.86,2024-08-15,21.78,-9.74,-15.78,-23.98,
WATT,Energous Corporation,2024-05-14,-23.25,-23.31,-0.06,-0.26,2024-05-07,46.2,2024-05-14,46.8,2024-05-21,44.7,1.3,-4.49,-3.25,
WATT,Energous Corporation,2024-03-28,-27.9,-25.5,2.4,8.6,2024-03-21,54.6,2024-03-28,60.9,2024-04-04,60.3,11.54,-0.99,10.44,
WATT,Energous Corporation,2023-11-09,-36.0,-29.19,6.81,18.92,2023-11-02,60.6,2023-11-09,73.8,2023-11-16,58.5,21.78,-20.73,-3.47,
WATT,Energous Corporation,2023-08-10,-42.0,-38.16,3.84,9.14,2023-08-03,159.0,2023-08-10,142.8,2023-08-17,62.7,-10.19,-56.09,-60.57,
