ticker,company_name,number_of_earnings_events,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,median_change_earnings_to_7d_after_pct,positive_7d_window_count,negative_7d_window_count,positive_7d_window_rate,best_7d_window_return_pct,worst_7d_window_return_pct,average_eps_surprise_pct,median_eps_surprise_pct,average_reported_eps,average_eps_estimate,eps_beat_rate,average_return_on_eps_beat_pct,median_return_on_eps_beat_pct
AOSL,Alpha and Omega Semiconductor L,12,-4.16,-5.86,-5.48,-10.91,4,8,0.33,29.31,-33.77,118.78,42.81,0.06,0.0133,0.8333333333333334,-1.944192825383182,-2.830834992233041
ARM,Arm Holdings plc,11,6.35,4.67,3.31,-0.44,7,4,0.64,78.86,-32.08,13.76,15.38,0.3845,0.3445,0.9090909090909091,8.442694812271522,4.978913600942571
ASML,ASML Holding N.V. - New York Re,12,-2.27,-4.01,-1.33,-1.49,4,8,0.33,22.12,-20.58,6.13,7.47,5.505,5.2225,0.9166666666666666,-2.9547317683646614,-4.260397785207982
ASTI,"Ascent Solar Technologies, Inc",1,-1.51,-1.51,6.02,6.02,0,1,0.0,-1.51,-1.51,-42.11,-42.11,-0.27,-0.19,0.0,,
AVGO,Broadcom Inc.,12,8.01,5.34,5.4,7.1,9,3,0.75,28.07,-13.42,2.87,2.07,1.3642,1.325,1.0,8.01457877907331,5.3446063744462045
AXTI,AXT Inc,12,14.35,-2.78,11.36,0.01,5,7,0.42,77.27,-24.32,10.84,8.33,-0.0792,-0.0908,0.5,28.696657392500924,33.57244834709407
BOSC,B.O.S. Better Online Solutions,1,-8.05,-8.05,-4.2,-4.2,0,1,0.0,-8.05,-8.05,-21.43,-21.43,0.11,0.14,0.0,,
BZAI,"Blaize Holdings, Inc.",6,-3.11,-15.29,-1.78,-11.68,2,4,0.33,73.33,-37.61,-116.37,3.85,-0.4433,-0.2683,0.5,6.077441748207003,-17.486341253976168
CAN,Canaan Inc.,12,-7.8,-7.78,-5.36,-8.0,3,9,0.25,20.53,-26.98,-97.49,-85.71,-0.1255,0.04,0.4166666666666667,5.946258348708491,6.030702535504467
CEVA,"CEVA, Inc.",12,3.09,8.37,1.04,-0.04,8,4,0.67,29.55,-23.92,22.08,5.56,0.0642,0.0558,0.5,16.18164255235786,14.573732452054534
COHR,Coherent Corp.,12,8.9,9.59,6.48,7.92,9,3,0.75,32.39,-20.31,17.06,10.12,0.7942,0.7067,1.0,8.897891365371233,9.585058613674128
COHU,"Cohu, Inc.",12,-1.25,-2.34,-2.0,-1.59,5,7,0.42,12.56,-23.29,-5.47,7.18,0.0208,0.0117,0.5833333333333334,-4.005976022543593,-4.035610028374782
CRUS,"Cirrus Logic, Inc.",12,5.27,5.57,5.86,3.04,10,2,0.83,24.95,-14.9,38.59,30.16,1.9508,1.5117,1.0,5.273005582213025,5.572344662935448
CSIQ,Canadian Solar Inc.,12,-9.48,-10.04,-4.28,-3.67,2,10,0.17,6.62,-24.46,-214.04,-64.64,-0.2008,0.055,0.3333333333333333,-7.535934419784304,-8.454540282200574
DIOD,Diodes Incorporated,12,0.19,-2.3,1.67,1.14,4,8,0.33,23.68,-14.93,6.56,0.88,0.5158,0.5067,0.5,6.330475240688045,3.906566543617185
DVLT,Datavault AI Inc.,12,-6.5,-10.61,-6.59,-7.48,3,8,0.25,50.89,-43.96,-4285.17,-18.03,-96.9808,-37.22,0.4166666666666667,-12.928142985331338,-17.88617886178862
FLEX,Flex Ltd.,12,8.04,2.04,8.11,6.23,8,4,0.67,60.27,-6.36,12.33,12.13,0.7075,0.6342,1.0,8.044289981574632,2.0385377405507086
FORM,"FormFactor, Inc.",12,6.65,5.87,4.07,6.26,7,5,0.58,34.56,-24.26,17.61,14.78,0.2858,0.2483,0.6666666666666666,7.891309656198606,6.507108554684004
FSLR,"First Solar, Inc.",12,-0.27,0.78,1.38,3.77,6,6,0.5,18.77,-19.43,10.16,6.31,3.09,3.0225,0.6666666666666666,3.487068388552159,3.245750913382051
GFS,GlobalFoundries Inc.,12,4.29,8.4,1.93,0.93,8,4,0.67,21.28,-18.59,15.59,15.48,0.45,0.3958,1.0,4.290540644917654,8.395203148550195
HIMX,"Himax Technologies, Inc.",12,6.96,-3.9,4.91,2.29,5,7,0.42,76.0,-21.24,15.55,21.83,0.0808,0.0683,0.5833333333333334,17.26649407139911,13.29305311103843
INDI,"indie Semiconductor, Inc.",12,1.12,-2.24,2.17,-1.89,5,7,0.42,34.74,-26.06,-13.48,-5.56,-0.1083,-0.0917,0.0,,
INTC,Intel Corporation,12,0.3,2.6,-0.19,-5.09,7,5,0.58,37.93,-33.7,284.74,28.57,-0.1475,0.0782,0.6666666666666666,3.4395184857819414,2.5993476857060536
INVE,"Identiv, Inc.",12,-7.29,-8.95,-3.44,-3.12,4,8,0.33,12.17,-25.14,7.46,13.64,-0.0758,-0.1083,0.5,-8.473104217963218,-8.950203830044629
IPGP,IPG Photonics Corporation,12,-1.27,-0.53,1.74,2.3,4,8,0.33,30.95,-23.88,29.52,8.13,0.5417,0.4825,0.5833333333333334,5.109332517640516,-0.33652320749608694
IPWR,Ideal Power Inc.,9,4.65,0.69,-0.02,-2.01,6,3,0.67,49.24,-26.73,-0.11,-2.33,-0.3311,-0.3344,0.3333333333333333,0.5597392757083443,0.46511954566658514
KE,"Kimball Electronics, Inc.",12,2.88,-2.87,0.89,-4.89,5,7,0.42,43.79,-16.25,14.5,3.85,0.3675,0.3408,0.5,7.542925985924895,1.4523415483257407
KLAC,KLA Corporation,12,2.52,1.21,-0.59,0.68,10,2,0.83,11.6,-11.26,5.3,4.42,7.4617,7.1083,1.0,2.5171006466809103,1.2069462980611179
KOPN,Kopin Corporation,11,0.89,3.61,2.3,1.43,6,5,0.55,43.37,-27.24,-15.83,-16.67,-0.0191,-0.024,0.2727272727272727,13.452844657698272,10.077519308209066
LASR,"nLIGHT, Inc.",12,6.39,4.25,6.28,0.63,6,6,0.5,60.43,-23.67,60.16,25.17,-0.0542,-0.0975,0.75,9.502647199821624,12.356323689667253
LFUS,"Littelfuse, Inc.",12,2.84,1.03,0.44,0.79,6,6,0.5,22.88,-14.46,-34.13,1.58,1.4408,2.2975,0.5833333333333334,4.98087989913216,2.9995853179293803
LINK,"Interlink Electronics, Inc.",9,-0.2,-0.51,-3.79,-2.84,4,5,0.44,33.23,-22.67,15.83,-10.0,-0.03,-0.0356,0.2222222222222222,0.47279836626980043,0.47279836626980043
LRCX,Lam Research Corporation,12,-0.66,-1.38,-1.05,-2.3,5,7,0.42,10.98,-17.78,7.96,6.71,0.9817,0.9133,1.0,-0.663756603964173,-1.384114673696966
LSCC,Lattice Semiconductor Corporati,12,4.42,7.95,1.6,2.05,8,4,0.67,23.29,-24.76,-7.25,0.0,0.3017,0.3067,0.3333333333333333,0.665927132073435,7.695296533877084
